cellnumber     x-coordinate     y-coordinate     x-coordinate     y-coordinate         pressure velocity-magnitude       x-velocity       y-velocity 
        83  1.775213981E-05  4.250092291E-06  1.775213981E-05  4.250092291E-06  2.693328912E+01  1.463217587E-01  1.463217585E-01  7.223102859E-06 
        84  1.531647665E-05  1.749893829E-06  1.531647665E-05  1.749893829E-06  5.579962806E+01  8.671872052E-02  8.671842585E-02  2.260680466E-04 
        85  1.825031896E-05  4.750021365E-06  1.825031896E-05  4.750021365E-06  2.096394211E+01  1.493057769E-01  1.493057768E-01  5.212870196E-06 
        86  1.482435914E-05  1.249629993E-06  1.482435914E-05  1.249629993E-06  6.144954554E+01  6.588084342E-02  6.588049097E-02  2.154990525E-04 
        87  1.875003561E-05  5.249998680E-06  1.875003561E-05  5.249998680E-06  1.498832102E+01  1.492970515E-01  1.492970514E-01  4.204547065E-06 
        88  1.432838344E-05  7.497520765E-07  1.432838344E-05  7.497520765E-07  6.697716706E+01  4.202432418E-02  4.202402873E-02  1.575815764E-04 
        89  1.925001286E-05  5.749999670E-06  1.925001286E-05  5.749999670E-06  9.030782944E+00  1.463304208E-01  1.463304205E-01  9.209423472E-06 
        90  1.975000297E-05  6.250000330E-06  1.975000297E-05  6.250000330E-06  3.026681893E+00  1.402695269E-01  1.402695266E-01  1.013860723E-05 
        91  1.383057876E-05  2.499997694E-07  1.383057876E-05  2.499997694E-07  7.251212636E+01  1.505399175E-02  1.505395998E-02  3.092847864E-05 
        92  1.627917995E-05  3.250023269E-06  1.627917995E-05  3.250023269E-06  4.459892724E+01  1.313922349E-01  1.313921639E-01  1.365560810E-04 
        93  1.676597055E-05  3.749631727E-06  1.676597055E-05  3.749631727E-06  3.877774241E+01  1.403362130E-01  1.403362007E-01  5.883775826E-05 
        94  1.579537144E-05  2.749951022E-06  1.579537144E-05  2.749951022E-06  5.032681129E+01  1.194865059E-01  1.194862836E-01  2.304884842E-04 
        95  1.725522716E-05  4.250123928E-06  1.725522716E-05  4.250123928E-06  3.292113470E+01  1.463188917E-01  1.463188898E-01  2.380757442E-05 
        96  1.530987203E-05  2.249923497E-06  1.530987203E-05  2.249923497E-06  5.603608572E+01  1.046466841E-01  1.046461527E-01  3.334993881E-04 
        97  1.775122942E-05  4.750056764E-06  1.775122942E-05  4.750056764E-06  2.695042776E+01  1.493057926E-01  1.493057925E-01  6.088823516E-06 
        98  1.482242888E-05  1.750069966E-06  1.482242888E-05  1.750069966E-06  6.167074499E+01  8.687739035E-02  8.687646413E-02  4.011661115E-04 
        99  1.825016739E-05  5.250013316E-06  1.825016739E-05  5.250013316E-06  2.096716130E+01  1.493022768E-01  1.493022768E-01  2.046082035E-06 
       100  1.433021461E-05  1.250370182E-06  1.433021461E-05  1.250370182E-06  6.725682774E+01  6.613658393E-02  6.613551544E-02  3.759415411E-04 
       101  1.875001780E-05  5.750001318E-06  1.875001780E-05  5.750001318E-06  1.496161701E+01  1.463041747E-01  1.463041744E-01  9.493499887E-06 
       102  1.383423710E-05  7.502455368E-07  1.383423710E-05  7.502455368E-07  7.265715154E+01  4.228874542E-02  4.228790868E-02  2.660239489E-04 
       103  1.925000692E-05  6.250000329E-06  1.925000692E-05  6.250000329E-06  9.045054290E+00  1.403433178E-01  1.403433174E-01  1.064457840E-05 
       104  1.975000148E-05  6.750000165E-06  1.975000148E-05  6.750000165E-06  3.025894722E+00  1.312971853E-01  1.312971844E-01  1.504061398E-05 
       105  1.333643097E-05  2.499997668E-07  1.333643097E-05  2.499997668E-07  7.810181160E+01  1.519388573E-02  1.519379188E-02  5.340244243E-05 
       106  1.627515359E-05  3.749839314E-06  1.627515359E-05  3.749839314E-06  4.469700261E+01  1.403231709E-01  1.403231204E-01  1.190948217E-04 
       107  1.578727571E-05  3.249986469E-06  1.578727571E-05  3.249986469E-06  5.053365784E+01  1.313912324E-01  1.313909861E-01  2.544346496E-04 
       108  1.676243778E-05  4.250375145E-06  1.676243778E-05  4.250375145E-06  3.886632691E+01  1.463108264E-01  1.463108173E-01  5.167525881E-05 
       109  1.530262176E-05  2.749936672E-06  1.530262176E-05  2.749936672E-06  5.625903844E+01  1.195306533E-01  1.195299399E-01  4.129724469E-04 
       110  1.725322835E-05  4.750090257E-06  1.725322835E-05  4.750090257E-06  3.294272065E+01  1.492993492E-01  1.492993488E-01  1.138022366E-05 
       111  1.481615040E-05  2.249996334E-06  1.481615040E-05  2.249996334E-06  6.196141070E+01  1.047787997E-01  1.047772131E-01  5.766072710E-04 
       112  1.775069842E-05  5.250035016E-06  1.775069842E-05  5.250035016E-06  2.695576452E+01  1.493009797E-01  1.493009797E-01  4.214269806E-06 
       113  1.432833412E-05  1.749911350E-06  1.432833412E-05  1.749911350E-06  6.756011921E+01  8.711367471E-02  8.711106751E-02  6.739726966E-04 
       114  1.825009013E-05  5.750006492E-06  1.825009013E-05  5.750006492E-06  2.096027999E+01  1.463125169E-01  1.463125167E-01  7.995118742E-06 
       115  1.383606357E-05  1.249629986E-06  1.383606357E-05  1.249629986E-06  7.307912939E+01  6.645917282E-02  6.645625904E-02  6.223238435E-04 
       116  1.875000890E-05  6.249999670E-06  1.875000890E-05  6.249999670E-06  1.495971575E+01  1.403186386E-01  1.403186381E-01  1.188998302E-05 
       117  1.334008786E-05  7.497520646E-07  1.334008786E-05  7.497520646E-07  7.832912074E+01  4.265864200E-02  4.265646651E-02  4.308162288E-04 
       118  1.925000321E-05  6.749999917E-06  1.925000321E-05  6.749999917E-06  9.042925662E+00  1.313696968E-01  1.313696959E-01  1.593221553E-05 
       119  1.975000074E-05  7.250000082E-06  1.975000074E-05  7.250000082E-06  3.027176606E+00  1.193398646E-01  1.193398633E-01  1.753077999E-05 
       120  1.284228318E-05  2.499997616E-07  1.284228318E-05  2.499997616E-07  8.370521396E+01  1.542001459E-02  1.541976819E-02  8.717273422E-05 
       121  1.627237102E-05  4.250296362E-06  1.627237102E-05  4.250296362E-06  4.479829238E+01  1.462775591E-01  1.462775260E-01  9.846182526E-05 
       122  1.578355940E-05  3.749917008E-06  1.578355940E-05  3.749917008E-06  5.064573675E+01  1.402905367E-01  1.402903656E-01  2.191235399E-04 
       123  1.529494876E-05  3.249960937E-06  1.529494876E-05  3.249960937E-06  5.649477757E+01  1.313822087E-01  1.313814631E-01  4.426504621E-04 
       124  1.675791083E-05  4.750786400E-06  1.675791083E-05  4.750786400E-06  3.890247074E+01  1.492836928E-01  1.492836917E-01  1.866106369E-05 
       125  1.480938605E-05  2.749966074E-06  1.480938605E-05  2.749966074E-06  6.222339246E+01  1.195989504E-01  1.195969050E-01  6.994737163E-04 
       126  1.725196341E-05  5.250062585E-06  1.725196341E-05  5.250062585E-06  3.295470656E+01  1.492945706E-01  1.492945706E-01  2.741568447E-06 
       127  1.432224227E-05  2.249953489E-06  1.432224227E-05  2.249953489E-06  6.792235856E+01  1.049783859E-01  1.049740783E-01  9.509953923E-04 
       128  1.775039428E-05  5.750020744E-06  1.775039428E-05  5.750020744E-06  2.695471492E+01  1.463111268E-01  1.463111268E-01  2.292248338E-06 
       129  1.383420988E-05  1.750078754E-06  1.383420988E-05  1.750078754E-06  7.349036291E+01  8.750658543E-02  8.749980512E-02  1.089310671E-03 
       130  1.825004704E-05  6.250003905E-06  1.825004704E-05  6.250003905E-06  2.095710066E+01  1.403287084E-01  1.403287080E-01  1.042793970E-05 
       131  1.334191901E-05  1.250370161E-06  1.334191901E-05  1.250370161E-06  7.895225557E+01  6.705623348E-02  6.704888115E-02  9.929679469E-04 
       132  1.875000445E-05  6.750000330E-06  1.875000445E-05  6.750000330E-06  1.495345019E+01  1.313452446E-01  1.313452436E-01  1.652614674E-05 
       133  1.284594148E-05  7.502455083E-07  1.284594148E-05  7.502455083E-07  8.404333068E+01  4.329531942E-02  4.329002393E-02  6.771351659E-04 
       134  1.925000173E-05  7.250000082E-06  1.925000173E-05  7.250000082E-06  9.041552190E+00  1.194108657E-01  1.194108643E-01  1.890742958E-05 
       135  1.975000037E-05  7.750000041E-06  1.975000037E-05  7.750000041E-06  3.027849577E+00  1.044008874E-01  1.044008855E-01  2.007214599E-05 
